Unique ID;type;batch #;wafer #;reticle name;vendor;processing;height, mm;width, mm;strips per side;year;owner;location;V_fd, V;I_150V_20C, uA;I_250V_20C;P-strips defect;N-strip defect;quality grade (0..10);problem, Y/N;QA passed, Y/N;opt. check. passed, Y/N;comment
1;CBM06C6;331827;01;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;71.61;11.20;15.56;10;0;0;1;0;0;NO
2;CBM06C6;331827;02;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;77.;9.88;11.65;4;0;0;0;1;0;NO
3;CBM06C6;331827;03;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;16.14;39.72;0;0;0;0;0;0;NO
4;CBM06C6;331827;04;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;71;10.46;12.33;0;0;0;0;1;0;NO
5;CBM06C6;331827;05;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;72;8.59;9.82;0;0;0;1;0;0;NO
6;CBM06C6;331827;06;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;9.39;12.91;0;0;0;0;0;0;NO
7;CBM06C6;331827;07;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;11.93;24.43;0;1;0;0;0;0;NO
8;CBM06C6;331827;08;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;65;9.35;11.17;0;3;0;0;1;0;NO
9;CBM06C6;331827;09;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;60;9.83;11.48;0;0;0;0;1;0;NO
10;CBM06C6;331827;10;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;10.18;12.04;0;3;0;0;0;0;NO
11;CBM06C6;331827;11;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;10.12;12.15;0;2;0;0;0;0;NO
12;CBM06C6;331827;12;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;11.38;13.27;0;0;0;0;0;0;NO
13;CBM06C6;331827;13;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;10.98;14.09;0;0;0;0;0;0;NO
14;CBM06C6;331827;14;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;4.32;8.90;0;5;0;0;0;0;NO
15;CBM06C6;331827;15;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;99.00;99.00;0;0;0;1;0;0;NO
16;CBM06C6;331827;16;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;5.29;7.71;0;0;0;0;0;0;NO
17;CBM06C6;331827;17;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;5.30;7.55;0;0;0;0;0;0;NO
18;CBM06C6;331827;18;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;5.72;8.47;0;0;0;0;0;0;NO
19;CBM06C6;331827;19;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;5.68;7.68;0;0;0;0;0;0;NO
20;CBM06C6;331827;20;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;4.84;7.38;0;0;0;0;0;0;NO
21;CBM06C6;331827;21;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;5.11;8.48;0;0;0;0;0;0;NO
22;CBM06C6;331827;22;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;5.11;12.29;0;0;0;0;0;0;NO
23;CBM06C6;331827;23;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;5.25;10.11;0;0;0;0;0;0;NO
24;CBM06C6;331827;24;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;5.56;11.16;0;0;0;0;0;0;NO
25;CBM06C6;331827;25;main;CiS;DSDM;62;62;1024;2014;J. Heuser;GSI;0.;8.40;15.15;0;0;0;0;0;0;NO
26;CBM05H4;S10938-1609 ;01;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;0.77;0;5;3;0;0;1;0;NO
27;CBM05H4;S10938-1609 ;02;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;1.15;0;2;1;0;0;1;0;NO
28;CBM05H4;S10938-1609;03;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;1.13;0;3;1;0;0;1;0;NO
29;CBM05H4;S10938-1609;04;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;0.78;0;4;0;0;0;1;0;NO
30;CBM05H4;S10938-1609;05;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;1.49;0;4;0;0;0;1;0;NO
31;CBM05H4;S10938-1609;06;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;65.;1.15;0;3;0;0;0;1;0;NO
32;CBM05H4;S10938-1609;07;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;1.11;0;3;1;0;0;1;0;NO
33;CBM05H4;S10938-1609;08;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;0.77;0;2;1;0;0;1;0;NO
34;CBM05H4;S10938-1609;09;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;1.29;0;2;0;0;0;1;0;NO
35;CBM05H4;S10938-1609;10;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;75.;1.01;0;1;0;0;0;1;0;NO
36;CBM05H4;S10938-1609;11;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;1.51;0;4;0;0;0;1;0;NO
37;CBM05H4;S10938-1609;12;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;75.;0.98;0;3;0;0;0;1;0;NO
38;CBM05H4;S10938-1609;13;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;75.;0.76;0;3;0;0;0;1;0;NO
39;CBM05H4;S10938-1609;14;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;75.;0.93;0;6;0;0;0;1;0;NO
40;CBM05H4;S10938-1609;15;main;HPC;DSDM;42;62;1024;2014;J. Heuser;GSI;70.;0.96;0;4;0;0;0;1;0;NO
